Parameter,Category,Description,Comments,Extra Flash Consumption,GCODE Modifier,HTMPMOVE,HTMP1-1,MP2-1,MP2-2,HTMP1-0,OVEN,HTPRUSA,MP2-0,,
babystep_invert_z,babystepping,Enable for babysteps to go opposite direction,,,,off,off,off,,,,,,,
babystep_millimeter_units,babystepping,Turn on to make multiplicator in mm instead of steps,Steps is a more accuracte representation,,,off,off,off,,,,,,,
babystep_multiplicator_z,babystepping,steps for each z bbs,,,,1,1,1,,,,,,,
babystep_multiplicator_xy,babystepping,steps for each xy bbs,,,,off,off,off,,,,,,,
doubleclick_for_z_babystepping,babystepping,Double click encoder on status screen to jump to menu,We actually don't need this all that much,,,off,off,off,,,,,,,
doubleclick_max_interval,babystepping,Max delay between click for dc_for_z_babystepping,Req. dc_for_z_babystepping,,,1250,1250,1250,,,,,,,
move_z_when_idle,babystepping,Switch to moving z menu when printer idle,No desire for this,,,off,off,off,,,,,,,
babystep_display_total,babystepping,Display total bbs since last G28,,,,on,on,on,,,,,,,
babystep_zprobe_offset,babystepping,Combines M851 Z and babystepping,Auto-saves babystep to probe offset,,,on,on,on,,,,,,,
babystep_hotend_z_offset,babystepping,Allows babystepping of relative physical nozzles,May be necessary for multi-carriage,,,off,off,off,,,,,,,
babystep_gfx_overlay,babystepping,Graphical overlay when bbs in Marlin Mode,,,,off,off,on,,,,,,,
lin_advance,extruder,Advanced control for conventional hotends that improves retractions and extrusion control,"Disabled for MPs, experiment with it for conventional, more settings available",,,off,off,off,,,,,,,
optimized_mesh_storage,bed-level,Reduce precision on mesh storage to save EEPROM space,"Not necessary when EEPROM is on SD card, consider for other applications",,,off,off,off,,,,,,,
g29_retry_and_recover,bed-level,"Retry G29 after failure, more settings available",We want control and to know why it failed,,,off,off,off,,,,,,,
saved_positions,adv-motion,Positions for G60/G61,,12b each,,4,4,4,,,,,,,
arc_support,adv-motion,G2/G3 arc support,,3226b ,,on,on,on,,,,,,,
min_arc_segment_mm,adv-motion,Minimum mm of arc length,,,,0.1,0.1,0.1,,,,,,,
max_arc_segment_mm,adv-motion,Maximum mm of arc length,,,,10,10,10,,,,,,,
min_circle_segments,adv-motion,Minimum segments in complete circle,,,,72,72,72,,,,,,,
